genes,gene_short_name,GC_content,Gene_type,Transcript_name
A1BG,A1BG,55.8,protein_coding,A1BG-203
A2ML1,A2ML1,44.23,protein_coding,A2ML1-201
A4GALT,A4GALT,52.39,protein_coding,A4GALT-206
AACS,AACS,51.2,protein_coding,AACS-201
AAGAB,AAGAB,39.47,protein_coding,AAGAB-201
AAK1,AAK1,41.95,protein_coding,AAK1-211
AAMDC,AAMDC,41.82,protein_coding,AAMDC-210
AAMP,AAMP,56.53,protein_coding,AAMP-201
AAR2,AAR2,47.41,protein_coding,AAR2-203
AARD,AARD,43.16,protein_coding,AARD-201
AARS,AARS,49.47,protein_coding,AARS-201
AARS2,AARS2,54.43,protein_coding,AARS2-201
AARSD1,AARSD1,48.21,protein_coding,AARSD1-215
AASDH,AASDH,38.98,protein_coding,AASDH-207
AASDHPPT,AASDHPPT,36.56,protein_coding,AASDHPPT-204
AATF,AATF,40.49,protein_coding,AATF-208
ABAT,ABAT,47.34,protein_coding,ABAT-201
ABCA13,ABCA13,38.84,protein_coding,ABCA13-202
ABCA5,ABCA5,34.61,protein_coding,ABCA5-201
ABCA6,ABCA6,36.3,protein_coding,ABCA6-201
ABCA9,ABCA9,37.68,protein_coding,ABCA9-201
ABCB7,ABCB7,36,protein_coding,ABCB7-203
ABCB8,ABCB8,57.04,protein_coding,ABCB8-203
ABCB9,ABCB9,52.47,protein_coding,ABCB9-202
ABCC1,ABCC1,48.47,protein_coding,ABCC1-209
ABCC10,ABCC10,52.94,protein_coding,ABCC10-203
ABCC3,ABCC3,51.95,protein_coding,ABCC3-217
ABCC4,ABCC4,42.34,protein_coding,ABCC4-214
ABCC5,ABCC5,44.68,protein_coding,ABCC5-202
ABCC9,ABCC9,36.12,protein_coding,ABCC9-201
ABCD3,ABCD3,37.07,protein_coding,ABCD3-202
ABCD4,ABCD4,51.39,protein_coding,ABCD4-201
ABCE1,ABCE1,34.74,protein_coding,ABCE1-201
ABCF1,ABCF1,47.93,protein_coding,ABCF1-216
ABCF3,ABCF3,51.95,protein_coding,ABCF3-203
ABCG1,ABCG1,51.02,protein_coding,ABCG1-206
ABCG8,ABCG8,46.22,protein_coding,ABCG8-203
ABHD1,ABHD1,50.81,protein_coding,ABHD1-205
ABHD10,ABHD10,35.85,protein_coding,ABHD10-202
ABHD11,ABHD11,59.95,protein_coding,ABHD11-214
ABHD12,ABHD12,47.38,protein_coding,ABHD12-205
ABHD16A,ABHD16A,50.36,protein_coding,ABHD16A-276
ABHD17B,ABHD17B,37.98,protein_coding,ABHD17B-202
ABHD17C,ABHD17C,42.95,protein_coding,ABHD17C-205
ABHD18,ABHD18,39.8,protein_coding,ABHD18-207
ABHD2,ABHD2,44.01,protein_coding,ABHD2-209
ABHD3,ABHD3,42.44,protein_coding,ABHD3-201
ABHD5,ABHD5,40.26,protein_coding,ABHD5-212
ABI1,ABI1,38.44,protein_coding,ABI1-210
ABI2,ABI2,39.5,protein_coding,ABI2-204
ABI3BP,ABI3BP,37.02,protein_coding,ABI3BP-206
ABL2,ABL2,41.31,protein_coding,ABL2-204
ABLIM1,ABLIM1,42.03,protein_coding,ABLIM1-206
ABO,ABO,48.81,protein_coding,ABO-209
ABR,ABR,55.27,protein_coding,ABR-202
ABRACL,ABRACL,44.13,protein_coding,ABRACL-201
ABRAXAS1,ABRAXAS1,42.23,protein_coding,ABRAXAS1-201
ABT1,ABT1,47.72,protein_coding,ABT1-201
ACAA1,ACAA1,51.46,protein_coding,ACAA1-210
ACAA2,ACAA2,39.53,protein_coding,ACAA2-201
ACACA,ACACA,41.28,protein_coding,ACACA-237
ACACB,ACACB,46.78,protein_coding,ACACB-201
ACAD10,ACAD10,47.12,protein_coding,ACAD10-213
ACAD11,ACAD11,37.44,protein_coding,ACAD11-208
ACAD8,ACAD8,47.88,protein_coding,ACAD8-201
ACAD9,ACAD9,49.2,protein_coding,ACAD9-203
ACADM,ACADM,40.45,protein_coding,ACADM-203
ACADSB,ACADSB,40.72,protein_coding,ACADSB-202
ACADVL,ACADVL,58.51,protein_coding,ACADVL-205
ACAP1,ACAP1,54.55,protein_coding,ACAP1-201
ACAP2,ACAP2,38.17,protein_coding,ACAP2-201
ACAT1,ACAT1,43.08,protein_coding,ACAT1-216
ACAT2,ACAT2,43.61,protein_coding,ACAT2-201
